sheet_row,inferred_provider,MISSING_FIELDS,perk_id,provider,membership,tier,feature,titlegroup,title,description,category,reset_period,next_reset_date,usage_limit,usage_notes,source_url,last_verified,popularity,icon_provider_url,icon_membership_url,created_at,emoji,price
180,Sky,source_url,sky-silver-sky-ultimate-tv,Sky,Sky,Silver,feature,Sky Ultimate TV,Sky Ultimate TV,"Sky Ultimate TV package with 130+ live and on-demand channels including Sky Atlantic, Sky One, Sky Witness, Sky Documentaries, and more, plus built-in streaming apps",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,📺,140
181,Sky,source_url,sky-silver-sky-sports,Sky,Sky,Silver,feature,Sky Sports,Sky Sports,"All 9 Sky Sports channels including Premier League, F1, Golf, Cricket, Tennis, and Sky Sports+ with dedicated coverage of EFL and more live sporting action",Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⚽,140
182,Sky,source_url,sky-silver-sky-cinema,Sky,Sky,Silver,feature,Sky Cinema,Sky Cinema,"Access to Sky Cinema channels with the latest blockbuster movies, exclusive premieres, and a library of classic films, plus 2 Vue cinema tickets per month and Paramount+ Basic included",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎬,140
183,Sky,source_url,sky-silver-tnt-sports,Sky,Sky,Silver,feature,Tnt Sports,TNT Sports,"All 4 TNT Sports channels featuring UEFA Champions League, Europa League, exclusive Premier League matches, FA Cup, Rugby, UFC, MotoGP, and more live sports via HBO Max app",Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏆,140
184,Sky,source_url,sky-silver-netflix-standard-ads,Sky,Sky,Silver,feature,Netflix Standard With Ads,Netflix Standard with Ads,"Netflix Standard with Ads subscription included, allowing streaming on 2 devices simultaneously in Full HD with award-winning films, series, and documentaries",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎥,140
185,Sky,source_url,sky-silver-sky-glass-55-gen1,Sky,Sky,Silver,feature,"Sky Glass 55"" - Gen 1","Sky Glass 55"" - Gen 1","Sky Glass 55-inch Gen 1 4K Ultra HD Smart TV with built-in Dolby Atmos soundbar, integrated Sky streaming, voice control, and no satellite dish required",Hardware,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,📺,140
186,Sky,source_url,sky-silver-hbo-max-basic-ads,Sky,Sky,Silver,feature,Hbo Ma Basic With Ads,HBO Max Basic with Ads,"HBO Max Basic with Ads subscription with access to HBO's acclaimed series catalogue including Succession, Game of Thrones, The Last of Us, Euphoria, and Warner Bros. films",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎭,140
187,Sky,source_url,sky-silver-discovery-plus-entertainment,Sky,Sky,Silver,feature,Discovery+ Entertainment,Discovery+ Entertainment,"Discovery+ Entertainment subscription with access to real-life entertainment, documentaries, reality shows, true crime, and original content from Discovery, TLC, and more channels",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🔍,140
188,Sky,source_url,sky-silver-paramount-plus-basic-ads,Sky,Sky,Silver,feature,Paramount+ Basic (With Ads),Paramount+ Basic (with Ads),"Paramount+ Basic subscription with ads, featuring exclusive Paramount films, original series, reality shows, and classic content from CBS, Showtime, and Nickelodeon",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⭐,140
189,Sky,source_url,sky-silver-disney-plus-standard-ads,Sky,Sky,Silver,feature,Disney+ Standard With Ads,Disney+ Standard with Ads,"Disney+ Standard with Ads subscription providing access to Disney, Pixar, Marvel, Star Wars, and National Geographic content on 2 devices in Full HD",Streaming,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏰,140
190,Sky,source_url,sky-silver-sky-full-fibre-150,Sky,Sky,Silver,feature,Sky Full Fibre 150,Sky Full Fibre 150,"Sky Full Fibre 150 broadband with average download speeds of 150Mbps and 27Mbps upload over FTTP connection, including Sky Max Hub WiFi 6 router and digital phone line",Broadband,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🌐,140
191,Sky,source_url,sky-silver-weekly-treat-on-us,Sky,Sky,Silver,perk,Weekly Treat,Weekly Treat on Us,"Weekly exclusive treats and offers for Sky VIP members including free snacks, drinks, and special deals from partner brands",Lifestyle,WEEKLY,2026-06-07 00:00:00,1 treat/week,Resets weekly. Usage: 1 treat/week.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎁,140
192,Sky,source_url,sky-silver-coffee52-bags,Sky,Sky,Silver,perk,Coffee52,Coffee52 - 2 Complimentary 200g bags of coffee,"Receive 2 complimentary 200g bags of premium coffee from Coffee52, artisan roasters delivering fresh specialty coffee to your door",Lifestyle,NONE,,2 bags,Usage: 2 bags.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,☕,140
193,Sky,source_url,sky-silver-aa-breakdown-cover,Sky,Sky,Silver,discount,AA,AA - Up to 50% off breakdown cover,"Save up to 50% off AA breakdown cover including roadside assistance, home start, and recovery services for peace of mind on the road",Automotive,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🚗,140
194,Sky,source_url,sky-silver-fussy-deodorant,Sky,Sky,Silver,discount,Fussy Deodorant,Fussy Deodorant - 30% off,"Get 30% off Fussy refillable natural deodorant, an eco-friendly aluminium-free deodorant with plastic-free refills",Lifestyle,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🌿,140
195,Sky,source_url,sky-silver-gruum-skin-hair-set,Sky,Sky,Silver,perk,Gruum,"Gruum - Free Spring Skin & Hair Set, Worth up to £34","Claim a free Spring Skin & Hair Set from Gruum worth up to £34, including premium skincare and haircare products",Lifestyle,NONE,,1 set,Usage: 1 set.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,💆,140
196,Sky,source_url,sky-silver-parkdean-resorts,Sky,Sky,Silver,discount,Parkdean Resorts,Parkdean Resorts - Save up to 20% on 2026 & 2027 Parkdean holidays,"Save up to 20% on 2026 & 2027 Parkdean Resorts UK holiday park breaks including caravans, lodges, and camping across 66 parks",Travel,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏕️,140
197,Sky,source_url,sky-silver-gousto-discount,Sky,Sky,Silver,discount,Gousto,Gousto - Get 60% of + free delivery on your first order,"Get 60% off your first Gousto recipe box order plus free delivery, with fresh ingredients and easy recipes delivered to your door",Food,NONE,,1 order,Usage: 1 order.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🍳,140
198,Sky,source_url,sky-silver-pooch-mutt,Sky,Sky,Silver,discount,Pooch & Mutt,Pooch & Mutt - 40% off sitewide on one-time purchases,"Enjoy 40% off sitewide on one-time purchases at Pooch & Mutt, premium natural dog food and supplements for happy, healthy pets",Lifestyle,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🐕,140
199,Sky,source_url,sky-silver-bookbeat-audiobooks,Sky,Sky,Silver,perk,Bookbeat,"BookBeat - free 90 days of audiobooks, worth £38","Get 90 days free of BookBeat premium audiobook streaming worth £38, with unlimited access to thousands of audiobooks and e-books",Entertainment,NONE,,90 days,Usage: 90 days.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,📚,140
200,Sky,source_url,sky-silver-purr-mutt-portraits,Sky,Sky,Silver,discount,Purr And Mutt,Purr and Mutt - 40% off unique pet portraits,"Save 40% off unique custom pet portraits at Purr and Mutt, featuring personalised artwork of your beloved pets",Lifestyle,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎨,140
201,Sky,source_url,sky-silver-upskilllist-learning,Sky,Sky,Silver,perk,Upskilllist,Upskilllist - 3 months free personalised learning,Get 3 months free access to Upskilllist personalised AI-powered learning platform for professional development and skills training,Education,NONE,,3 months,Usage: 3 months.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,📖,140
202,Sky,source_url,sky-silver-smol-laundry,Sky,Sky,Silver,perk,Smol,Smol - Free pack of laundry capsuals + 25% of next pack,"Receive a free pack of Smol eco-friendly laundry capsules plus 25% off your next pack, sustainable cleaning delivered through your letterbox",Lifestyle,NONE,,1 pack,Usage: 1 pack.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🧺,140
203,Sky,source_url,sky-silver-fabletics-discount,Sky,Sky,Silver,discount,Fabletics,Fabletics - Up to 80% of + extra 10% off sitewide,"Get up to 80% off plus an extra 10% off sitewide at Fabletics on premium activewear, workout clothes, and athleisure",Shopping,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,👟,140
204,Sky,source_url,sky-silver-yougarden-discount,Sky,Sky,Silver,discount,Yougarden,YouGarden - 15% off all orders and FREE feed worth £4.99,"Save 15% off all orders at YouGarden plus receive FREE plant feed worth £4.99 with your purchase of plants, bulbs, and garden essentials",Lifestyle,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🌱,140
205,Sky,source_url,sky-silver-movie-eddie-eagle,Sky,Sky,Silver,perk,Moive On Us,Movie on Us - Eddie the Eagle,"Watch Eddie the Eagle movie for free as a Sky VIP exclusive, the inspiring true story of British ski jumper Eddie Edwards at the 1988 Winter Olympics",Entertainment,NONE,,1 movie,Usage: 1 movie.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎬,140
206,Sky,source_url,sky-silver-vip-lounge-ovo-hydro-glasgow,Sky,Sky,Silver,perk,"Vip Lounge - Ovo Hydro, Glasgow","VIP Lounge - OVO Hydro, Glasgow","Access to exclusive Sky VIP Lounge at OVO Hydro, Glasgow with premium amenities, complimentary refreshments, and enhanced event experiences",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎤,140
207,Sky,source_url,sky-silver-vip-lounge-first-direct-arena-leeds,Sky,Sky,Silver,perk,"Vip Lounge - First Direct Ban Areana, Leeds","VIP Lounge - First Direct Ban Areana, Leeds","Access to exclusive Sky VIP Lounge at First Direct Bank Arena, Leeds with premium hospitality, refreshments, and VIP event experiences",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎤,140
208,Sky,source_url,sky-silver-vip-lounge-utilita-arena-birmingham,Sky,Sky,Silver,perk,Vip Lounge - Utilita Arena Birmingham,VIP Lounge - Utilita Arena Birmingham,"Access to exclusive Sky VIP Lounge at Utilita Arena Birmingham with premium hospitality, complimentary refreshments, and enhanced event experiences",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎤,140
209,Sky,source_url,sky-silver-vip-lounge-sse-arena-belfast,Sky,Sky,Silver,perk,"Vip Lounge - Sse Arena, Belfast","VIP Lounge - SSE Arena, Belfast","Access to exclusive Sky VIP Lounge at SSE Arena, Belfast with premium hospitality, complimentary refreshments, and VIP event experiences",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎤,140
210,Sky,source_url,sky-silver-vip-lounge-ovo-arena-wembley,Sky,Sky,Silver,perk,"Vip Lounge - Ovo Arena, Wembley","VIP Lounge - OVO Arena, Wembley","Access to exclusive Sky VIP Lounge at OVO Arena Wembley with premium hospitality, complimentary refreshments, and enhanced event experiences",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎤,140
211,Sky,source_url,sky-silver-the-athletic-12-months,Sky,Sky,Silver,perk,The Athletic - 12 Months Free,The Athletic - 12 months Free,"Get 12 months free subscription to The Athletic premium sports journalism with in-depth coverage of Premier League, NFL, MLB, and 250+ teams",Sports,ANNUALLY,2027-04-30 00:00:00,1 subscription/year,Resets annually. Usage: 1 subscription/year.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⚽,140
212,Sky,source_url,sky-silver-cricket-england-new-zealand-mens,Sky,Sky,Silver,competition,Mens International Cricket - England V New Zealand,Mens International Cricket - England v New Zealand,Enter for a chance to win tickets to Men's International Cricket England v New Zealand matches with exclusive Sky VIP access,Sports,NONE,,Competition,Usage: Competition.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏏,140
213,Sky,source_url,sky-silver-royal-ascot-vip,Sky,Sky,Silver,competition,Royal Ascot - Vip Expereince,Royal Ascot - VIP Expereince,"Enter for a chance to win a Royal Ascot VIP Experience including premium hospitality, champagne, fine dining, and access to prestigious enclosures",Sports,NONE,,Competition,Usage: Competition.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏇,140
214,Sky,source_url,sky-silver-betfred-super-league-tickets,Sky,Sky,Silver,competition,Betfred Super League Tickets - Win ,Betfred Super League Tickets - Win ,Enter for a chance to win tickets to Betfred Super League rugby matches with multiple games available throughout the season,Sports,NONE,,Competition,Usage: Competition.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏉,140
215,Sky,source_url,sky-silver-fanatics-merch,Sky,Sky,Silver,discount,Fanatics - Save 15% On Your Next Offical Merch Purchase,Fanatics - Save 15% on your next offical merch purchase,"Save 15% on your next official sports merchandise purchase at Fanatics, the world's largest collection of licensed sportswear and memorabilia",Shopping,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,👕,140
216,Sky,source_url,sky-silver-kitbag-discount,Sky,Sky,Silver,discount,Kitbag - 16% Off Full Price And Extra 5% Off Clearence,Kitbag - 16% off full price and extra 5% off clearence,"Get 16% off full price items plus an extra 5% off clearance at Kitbag for official football kits, sportswear, and fan merchandise",Shopping,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⚽,140
217,Sky,source_url,sky-silver-callaway-golf-discount,Sky,Sky,Silver,discount,Callaway Golf - Save 10% On Clubs And Gears,Callaway Golf - save 10% on Clubs and gears,"Save 10% on Callaway Golf clubs, gear, and accessories including drivers, irons, putters, and golf apparel",Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⛳,140
218,Sky,source_url,sky-silver-nike-discount,Sky,Sky,Silver,discount,Nike - Get 20% Of At Nike,Nike - Get 20% of at Nike,"Get 20% off at Nike on footwear, apparel, and accessories across running, training, football, and lifestyle collections",Shopping,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,✔️,140
219,Sky,source_url,sky-silver-powerleague-free-pitch,Sky,Sky,Silver,competition,Powerleague - Win A Free 5-A-Side Pitch Booing At Powerleague,Powerleague - Win a free 5-a-side pitch booing at Powerleague,"Enter for a chance to win a free 5-a-side pitch booking at Powerleague, the UK's leading provider of football pitches and leagues",Sports,NONE,,Competition,Usage: Competition.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⚽,140
220,Sky,source_url,sky-silver-ludimos-ai-training,Sky,Sky,Silver,discount,Ludimos - Get 50% Off Ludimios Ai-Powered Training,Ludimos - Get 50% off Ludimios AI-powered training,"Get 50% off Ludimos AI-powered football training app with personalised coaching, skill development, and performance tracking",Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🤖,140
221,Sky,source_url,sky-silver-powerleague-25-off,Sky,Sky,Silver,discount,Powerleague - Get 25% Off On Powerleague 5-A-Side Bookings,Powerleague - Get 25% off on Powerleague 5-a-side bookings,Get 25% off Powerleague 5-a-side pitch bookings across their nationwide network of football centres and indoor pitches,Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⚽,140
222,Sky,source_url,sky-silver-powerleague-kids-party,Sky,Sky,Silver,discount,Powerleague - 10% Off Poerleague Kids Party Bookings,Powerleague - 10% off Poerleague kids party bookings,"Save 10% off Powerleague kids party bookings including football parties, coaching sessions, and birthday celebrations",Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🎉,140
223,Sky,source_url,sky-silver-teamsport-karting,Sky,Sky,Silver,discount,Teamsport - Get 40% Off Karting At Teamsport,Teamsport - Get 40% off Karting at TeamSport,Get 40% off go-karting at TeamSport indoor karting venues with high-speed electric karts and competitive racing experiences,Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏎️,140
224,Sky,source_url,sky-silver-train-effective-coaching,Sky,Sky,Silver,discount,Pro Football Coaching - Get 50% Off With Train Effective,Pro Football Coaching - Get 50% off with Train Effective,Get 50% off Train Effective professional football coaching with personalised training programmes and expert instruction,Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⚽,140
225,Sky,source_url,sky-silver-play-netball-fees,Sky,Sky,Silver,discount,Play Netball - Get 50% Off Play Netball Season Fees,Play Netball - get 50% off play netball season fees,"Get 50% off Play Netball season fees for social netball leagues with fun, friendly games across venues nationwide",Sports,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏐,140
226,Sky,source_url,sky-silver-world-golf-museum,Sky,Sky,Silver,discount,R&A World Of Golf Meuseum - Get 25% Off,R&A World of Golf Meuseum - Get 25% off,"Get 25% off entry to the R&A World Golf Museum in St Andrews, celebrating the history and heritage of golf at its birthplace",Entertainment,NONE,,Ongoing,Usage: Ongoing.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⛳,140
227,Sky,source_url,sky-silver-us-open-golf-trip,Sky,Sky,Silver,competition,126th U.S. Open Golf Championship in New York - Win a Trip,126th U.S. Open Golf Championship in New York - Win a Trip,"Enter for a chance to win a trip to the 126th U.S. Open Golf Championship in New York including flights, accommodation, and tournament tickets",Sports,NONE,,Competition,Usage: Competition.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⛳,140
228,Sky,source_url,sky-silver-callaway-golf-prize,Sky,Sky,Silver,competition,Ultimate Callaway Golf Prize,Ultimate Callaway Golf Prize,"Enter for a chance to win the Ultimate Callaway Golf Prize including premium clubs, equipment, and accessories",Sports,NONE,,Competition,Usage: Competition.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⛳,140
229,Sky,source_url,sky-silver-british-grand-prix-tickets,Sky,Sky,Silver,competition,British GrandPrix Tickets - Win ,British GrandPrix Tickets - Win ,Enter for a chance to win tickets to the British Grand Prix at Silverstone for thrilling Formula 1 racing action,Sports,NONE,,Competition,Usage: Competition.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,🏎️,140
230,Sky,source_url,sky-silver-premier-league-tickets,Sky,Sky,Silver,competition,Premier League Tickets - Win,Premier League Tickets - Win,Enter for a chance to win Premier League match tickets with multiple games available throughout the season across various clubs,Sports,NONE,,Competition,Usage: Competition.,,2026-04-28 00:00:00,Unknown,https://logo.clearbit.com/sky.com,https://logo.clearbit.com/sky.com,2026-04-28 00:00:00,⚽,140
